"Index" "Sub_metering_1" "Sub_metering_2" "Sub_metering_3" "Other_Equipment" "EnergyConsumed"
"ene. 2007" 56.433 79.274 329.611 684.969166666667 1150.28716666667
"feb. 2007" 47.584 64.604 270.308 559.086966666667 941.582966666667
"mar. 2007" 60.758 104.707 289.293 523.8083 978.5663
"abr. 2007" 42.089 38.461 190.571 323.8178 594.9388
"may. 2007" 75.737 72.141 229.448 356.2738 733.5998
"jun. 2007" 59.673 69.945 188.744 275.723733333333 594.085733333333
"jul. 2007" 43.052 56.14025 155.15625 243.495266666667 497.843766666667
"ago. 2007" 36.251 49.675 225.442 256.128166666667 567.496166666667
"sep. 2007" 52.841 75.28 225.358 344.226733333333 697.705733333333
"oct. 2007" 43.218 87.937 256.8215 434.100116666667 822.076616666667
"nov. 2007" 50.825 73.666 299.708 507.838366666667 932.037366666667
"dic. 2007" 74.09 82.931 362.423 690.6481 1210.0921
"ene. 2008" 61.761 62.912 312.192 649.3656 1086.2306
"feb. 2008" 40.231 56.646 255.97 469.452666666667 822.299666666667
"mar. 2008" 63.11 79.22 278.606 504.1414 925.0774
"abr. 2008" 47.08 70.929 296.719 389.9232 804.6512
"may. 2008" 53.084 58.89 290.105 358.3376 760.4166
"jun. 2008" 68.728 63.437 289.825 294.694933333333 716.684933333333
"jul. 2008" 47.313 43.861 227.909 271.3644 590.4474
"ago. 2008" 3.873 22.785 78.657 100.860366666667 206.175366666667
"sep. 2008" 52.376 44.634 285.371 329.7454 712.1264
"oct. 2008" 44.093 63.321 276.712 462.216066666667 846.342066666667
"nov. 2008" 58.067 55.927 280.735 604.1882 998.9172
"dic. 2008" 45.109 39.48275 308.43575 555.739716666667 948.767216666667
"ene. 2009" 74.653 72.952 329.623 572.030633333333 1049.25863333333
"feb. 2009" 47.098 50.684 296.2 443.633433333333 837.615433333333
"mar. 2009" 64.691 48.383 328.733 470.581166666667 912.388166666667
"abr. 2009" 54.506 52.636 306.666 405.7481 819.5561
"may. 2009" 43.57 50.1 311.455 349.1919 754.3169
"jun. 2009" 31.362 29.766 260.625 244.051633333333 565.804633333333
"jul. 2009" 18.226 42.498 187.943 211.3084 459.9754
"ago. 2009" 33.546 39.14175 195.154 223.179908333333 491.021658333333
"sep. 2009" 52.079 46.15 296.301 316.0842 710.6142
"oct. 2009" 54.2345 53.704 327.447 415.136033333333 850.521533333333
"nov. 2009" 60.446 53.473 335.548 468.376166666667 917.843166666667
"dic. 2009" 57.801 53.492 383.945 519.908033333333 1015.14603333333
"ene. 2010" 53.887 56.568 395.949 488.884233333333 995.288233333333
"feb. 2010" 49.27 53.592 411.733 410.021866666667 924.616866666667
"mar. 2010" 35.089 60.802 324.312 385.5342 805.7372
"abr. 2010" 38.196 36.511 336.051 328.941133333333 739.699133333333
"may. 2010" 48.108 52.411 364.619 349.6478 814.7858
"jun. 2010" 65.349 47.679 306.934 276.597033333333 696.559033333333
"jul. 2010" 18.102 34.355 192.916 292.9081 538.2811
"ago. 2010" 12.499 26.987 160.201 181.1985 380.8855
"sep. 2010" 36.865 32.508 257.911 286.867733333333 614.151733333333
"oct. 2010" 48.199 60.24 315.67 440.8468 864.9558
"nov. 2010" 46.162 42.282 247.113 407.749466666667 743.306466666667
